PROVIDER;DATASET;INDICATOR_NAME;INDICATOR_CODE;INDICATOR_DESCRIPTION;CATEGORY;SUB_CATEGORY
WB;WDI;WB-WDI-EG.ELC.ACCS.ZS;EG.ELC.ACCS.ZS;Access to electricity (% of population);Doing Business;NA
WB;WDI;WB-WDI-EG.ELC.ACCS.UR.ZS;EG.ELC.ACCS.UR.ZS;Access to electricity, urban (% of urban population);Doing Business;NA
WB;WDI;WB-WDI-TM.VAL.MRCH.CD.WT;TM.VAL.MRCH.CD.WT;Merchandise imports (current US$);Economical;Trade
WB;WDI;WB-WDI-TX.VAL.MRCH.CD.WT;TX.VAL.MRCH.CD.WT;Merchandise exports (current US$);Economical;Trade
WB;WDI;WB-WDI-BX.KLT.DINV.CD.WD;BX.KLT.DINV.CD.WD;Foreign direct investment, net inflows (BoP, current US$);Economical;Trade
WB;WDI;WB-WDI-SL.TLF.TOTL.IN;SL.TLF.TOTL.IN;Labor force, total;Economical;NA
WB;WDI;WB-WDI-SL.TLF.CACT.ZS;SL.TLF.CACT.ZS;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);Economical;NA
WB;WDI;WB-WDI-TG.VAL.TOTL.GD.ZS;TG.VAL.TOTL.GD.ZS;Merchandise trade (% of GDP);Economical;Trade
WB;WDI;WB-WDI-BX.KLT.DINV.WD.GD.ZS;BX.KLT.DINV.WD.GD.ZS;Foreign direct investment, net inflows (% of GDP);Economical;Trade
WB;WDI;WB-WDI-TX.UVI.MRCH.XD.WD;TX.UVI.MRCH.XD.WD;Export unit value index (2015 = 100);Economical;Trade
WB;WDI;WB-WDI-TM.UVI.MRCH.XD.WD;TM.UVI.MRCH.XD.WD;Import unit value index (2015 = 100);Economical;Trade
WB;WDI;WB-WDI-NY.GSR.NFCY.CD;NY.GSR.NFCY.CD;Net primary income (Net income from abroad) (current US$);Economical;NA
WB;WDI;WB-WDI-NV.IND.TOTL.ZS;NV.IND.TOTL.ZS;Industry (including construction), value added (% of GDP);Economical;NA
WB;WDI;WB-WDI-NV.IND.TOTL.CD;NV.IND.TOTL.CD;Industry (including construction), value added (current US$);Economical;NA
WB;WDI;WB-WDI-NY.ADJ.DNGY.CD;NY.ADJ.DNGY.CD;Adjusted savings: energy depletion (current US$);Economical;NA
WB;WDI;WB-WDI-TX.VAL.MRCH.RS.ZS;TX.VAL.MRCH.RS.ZS;Merchandise exports by the reporting economy, residual (% of total merchandise exports);Economical;Trade
WB;WDI;WB-WDI-TX.VAL.MRCH.HI.ZS;TX.VAL.MRCH.HI.ZS;Merchandise exports to high-income economies (% of total merchandise exports);Economical;Trade
WB;WDI;WB-WDI-TM.VAL.MRCH.WL.CD;TM.VAL.MRCH.WL.CD;Merchandise imports by the reporting economy (current US$);Economical;Trade
WB;WDI;WB-WDI-TM.VAL.MRCH.RS.ZS;TM.VAL.MRCH.RS.ZS;Merchandise imports by the reporting economy, residual (% of total merchandise imports);Economical;Trade
WB;WDI;WB-WDI-TX.VAL.MRCH.WL.CD;TX.VAL.MRCH.WL.CD;Merchandise exports by the reporting economy (current US$);Economical;Trade
WB;WDI;WB-WDI-TM.VAL.MRCH.HI.ZS;TM.VAL.MRCH.HI.ZS;Merchandise imports from high-income economies (% of total merchandise imports);Economical;Trade
WB;WDI;WB-WDI-NV.SRV.TOTL.ZS;NV.SRV.TOTL.ZS;Services, value added (% of GDP);Economical;NA
WB;WDI;WB-WDI-NV.SRV.TOTL.CD;NV.SRV.TOTL.CD;Services, value added (current US$);Economical;NA
WB;WDI;WB-WDI-TM.VAL.MRCH.R5.ZS;TM.VAL.MRCH.R5.ZS;Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports);Economical;NA
WB;WDI;WB-WDI-TM.VAL.MRCH.R2.ZS;TM.VAL.MRCH.R2.ZS;Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports);Economical;NA
WB;WDI;WB-WDI-TM.VAL.MRCH.R3.ZS;TM.VAL.MRCH.R3.ZS;Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports);Economical;NA
WB;WDI;WB-WDI-TX.VAL.MRCH.R1.ZS;TX.VAL.MRCH.R1.ZS;Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports);Economical;NA
WB;WDI;WB-WDI-TM.VAL.MRCH.OR.ZS;TM.VAL.MRCH.OR.ZS;Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports);Economical;Trade
WB;WDI;WB-WDI-TX.VAL.MRCH.OR.ZS;TX.VAL.MRCH.OR.ZS;Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports);Economical;Trade
WB;WDI;WB-WDI-TM.VAL.MRCH.AL.ZS;TM.VAL.MRCH.AL.ZS;Merchandise imports from economies in the Arab World (% of total merchandise imports);Economical;Trade
WB;WDI;WB-WDI-AG.PRD.CROP.XD;AG.PRD.CROP.XD;Crop production index (2014-2016 = 100);Economical;Ressources
WB;WDI;WB-WDI-AG.PRD.LVSK.XD;AG.PRD.LVSK.XD;Livestock production index (2014-2016 = 100);Economical;Ressources
WB;WDI;WB-WDI-AG.PRD.FOOD.XD;AG.PRD.FOOD.XD;Food production index (2014-2016 = 100);Economical;Ressources
WB;WDI;WB-WDI-TX.VAL.MRCH.AL.ZS;TX.VAL.MRCH.AL.ZS;Merchandise exports to economies in the Arab World (% of total merchandise exports);Economical;Trade
WB;WDI;WB-WDI-TM.VAL.MRCH.R6.ZS;TM.VAL.MRCH.R6.ZS;Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports);Economical;Trade
WB;WDI;WB-WDI-TX.VAL.MRCH.R6.ZS;TX.VAL.MRCH.R6.ZS;Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports);Economical;Trade
WB;WDI;WB-WDI-TM.VAL.MRCH.R4.ZS;TM.VAL.MRCH.R4.ZS;Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports);Economical;Trade
WB;WDI;WB-WDI-AG.LND.CROP.ZS;AG.LND.CROP.ZS;Permanent cropland (% of land area);Economical;Ressources
WB;WDI;WB-WDI-NV.AGR.TOTL.KD.ZG;NV.AGR.TOTL.KD.ZG;Agriculture, forestry, and fishing, value added (annual % growth);Economical;Ressources
