index,Provider Id,Provider Name,Provider Region,Dataset Id,Dataset Name,Subgroup 1 Id,Subgroup 1 Name,Subgroup 2 Id,Subgroup 2 Name
0,IMF,International Monetary Fund,World,AFRREO,Sub-Saharan Africa Regional Economic Outlook (AFRREO),,,,
1,IMF,International Monetary Fund,World,APDREO,Asia and Pacific Regional Economic Outlook (APDREO),,,,
2,IMF,International Monetary Fund,World,BOP,Balance of Payments (BOP),,,,
3,IMF,International Monetary Fund,World,BOPAGG,"Balance of Payments (BOP), World and Regional Aggregates",,,,
4,IMF,International Monetary Fund,World,CDIS,Coordinated Direct Investment Survey (CDIS),,,,
5,IMF,International Monetary Fund,World,COFER,Currency Composition of Official Foreign Exchange Reserves (COFER),,,,
6,IMF,International Monetary Fund,World,CPI,Consumer Price Index (CPI),,,,
7,IMF,International Monetary Fund,World,CPIS,Coordinated Portfolio Investment Survey (CPIS),,,,
8,IMF,International Monetary Fund,World,DOT,Direction of Trade Statistics (DOTS),,,,
9,IMF,International Monetary Fund,World,FAS,Financial Access Survey (FAS),,,,
10,IMF,International Monetary Fund,World,FDI,Financial Development Index,,,,
11,IMF,International Monetary Fund,World,FISCALDECENTRALIZATION,Fiscal Decentralization,,,,
12,IMF,International Monetary Fund,World,FM,Fiscal Monitor (FM),,,,
13,IMF,International Monetary Fund,World,FSI,Financial Soundness Indicators (FSIs),,,,
14,IMF,International Monetary Fund,World,FSIRE,Financial Soundness Indicators: Reporting entities,,,,
15,IMF,International Monetary Fund,World,GENDER_BUDGETING,Gender Budgeting,,,,
16,IMF,International Monetary Fund,World,GENDER_EQUALITY,Gender Equality,,,,
17,IMF,International Monetary Fund,World,GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",,,,
18,IMF,International Monetary Fund,World,GFSE,"Government Finance Statistics (GFS), Expense",,,,
19,IMF,International Monetary Fund,World,GFSFALCS,"Government Finance Statistics (GFS), Financial Assets and Liabilities by Counterpart Sector",,,,
20,IMF,International Monetary Fund,World,GFSIBS,"Government Finance Statistics (GFS), Integrated Balance Sheet (Stock Positions and Flows in Assets and Liabilities)",,,,
21,IMF,International Monetary Fund,World,GFSMAB,"Government Finance Statistics (GFS), Main Aggregates and Balances",,,,
22,IMF,International Monetary Fund,World,GFSR,"Government Finance Statistics (GFS), Revenue",,,,
23,IMF,International Monetary Fund,World,GFSSSUC,"Government Finance Statistics (GFS), Statement of Sources and Uses of Cash",,,,
24,IMF,International Monetary Fund,World,HPDD,Historical Public Debt (HPDD),,,,
25,IMF,International Monetary Fund,World,IFS,International Financial Statistics (IFS),,,,
26,IMF,International Monetary Fund,World,IRFCL,International Reserves and Foreign Currency Liquidity (IRFCL),,,,
27,IMF,International Monetary Fund,World,MCDREO,Middle East and Central Asia Regional Economic Outlook (MCDREO),,,,
28,IMF,International Monetary Fund,World,MFS,Monetary and Financial Statistics (MFS),,,,
29,IMF,International Monetary Fund,World,NAMAIN_IDC_N,"System of National Accounts (SNA), NA_MAIN",,,,
30,IMF,International Monetary Fund,World,PCPS,Primary Commodity Price System (PCPS),,,,
31,IMF,International Monetary Fund,World,PCTOT,Commodity Terms of Trade,,,,
32,IMF,International Monetary Fund,World,PGCS,Private and Public Capital Stock Dataset,,,,
33,IMF,International Monetary Fund,World,PGI,Principal Global Indicators (PGI),,,,
34,IMF,International Monetary Fund,World,PSBSFAD,Public Sector Balance Sheet (PSBS)(FAD),,,,
35,IMF,International Monetary Fund,World,UNSDG_IMF_INPUTS,"Sustainable Development Goals, IMF Inputs",,,,
36,IMF,International Monetary Fund,World,WEOAGG:2024-10,World Economic Outlook by country groups (2024-10 release),WEO,World Economic Outlook,,
37,IMF,International Monetary Fund,World,WEOAGG:2024-04,World Economic Outlook by country groups (2024-04 release),WEO,World Economic Outlook,,
38,IMF,International Monetary Fund,World,WEOAGG:2023-10,World Economic Outlook by country groups (2023-10 release),WEO,World Economic Outlook,,
39,IMF,International Monetary Fund,World,WEOAGG:2023-04,World Economic Outlook by country groups (2023-04 release),WEO,World Economic Outlook,,
40,IMF,International Monetary Fund,World,WEOAGG:2022-10,World Economic Outlook by country groups (2022-10 release),WEO,World Economic Outlook,,
41,IMF,International Monetary Fund,World,WEOAGG:2022-04,World Economic Outlook by country groups (2022-04 release),WEO,World Economic Outlook,,
42,IMF,International Monetary Fund,World,WEOAGG:2021-10,WEO by country groups (2021-10 release),WEO,World Economic Outlook,,
43,IMF,International Monetary Fund,World,WEOAGG:2021-04,WEO by country groups (2021-04 release),WEO,World Economic Outlook,,
44,IMF,International Monetary Fund,World,WEOAGG:2020-10,WEO by country groups (2020-10 release),WEO,World Economic Outlook,,
45,IMF,International Monetary Fund,World,WEOAGG:2020-04,WEO by country groups (2020-04 release),WEO,World Economic Outlook,,
46,IMF,International Monetary Fund,World,WEOAGG:2019-10,WEO by country groups (2019-10 release),WEO,World Economic Outlook,,
47,IMF,International Monetary Fund,World,WEOAGG:2019-04,WEO by country groups (2019-04 release),WEO,World Economic Outlook,,
48,IMF,International Monetary Fund,World,WEOAGG:2018-10,WEO by country groups (2018-10 release),WEO,World Economic Outlook,,
49,IMF,International Monetary Fund,World,WEOAGG:2018-04,WEO by country groups (2018-04 release),WEO,World Economic Outlook,,
50,IMF,International Monetary Fund,World,WEOAGG:2017-10,WEO by country groups (2017-10 release),WEO,World Economic Outlook,,
51,IMF,International Monetary Fund,World,WEOAGG:2017-04,WEO by country groups (2017-04 release),WEO,World Economic Outlook,,
52,IMF,International Monetary Fund,World,WEOAGG:2016-10,WEO by country groups (2016-10 release),WEO,World Economic Outlook,,
53,IMF,International Monetary Fund,World,WEOAGG:2016-04,WEO by country groups (2016-04 release),WEO,World Economic Outlook,,
54,IMF,International Monetary Fund,World,WEOAGG:2015-10,WEO by country groups (2015-10 release),WEO,World Economic Outlook,,
55,IMF,International Monetary Fund,World,WEOAGG:2015-04,WEO by country groups (2015-04 release),WEO,World Economic Outlook,,
56,IMF,International Monetary Fund,World,WEOAGG:2014-10,WEO by country groups (2014-10 release),WEO,World Economic Outlook,,
57,IMF,International Monetary Fund,World,WEOAGG:2014-04,WEO by country groups (2014-04 release),WEO,World Economic Outlook,,
58,IMF,International Monetary Fund,World,WEOAGG:2013-10,WEO by country groups (2013-10 release),WEO,World Economic Outlook,,
59,IMF,International Monetary Fund,World,WEOAGG:2013-04,WEO by country groups (2013-04 release),WEO,World Economic Outlook,,
60,IMF,International Monetary Fund,World,WEOAGG:2012-10,WEO by country groups (2012-10 release),WEO,World Economic Outlook,,
61,IMF,International Monetary Fund,World,WEOAGG:2012-04,WEO by country groups (2012-04 release),WEO,World Economic Outlook,,
62,IMF,International Monetary Fund,World,WEOAGG:2011-04,WEO by country groups (2011-04 release),WEO,World Economic Outlook,,
63,IMF,International Monetary Fund,World,WEOAGG:2010-10,WEO by country groups (2010-10 release),WEO,World Economic Outlook,,
64,IMF,International Monetary Fund,World,WEOAGG:2010-04,WEO by country groups (2010-04 release),WEO,World Economic Outlook,,
65,IMF,International Monetary Fund,World,WEOAGG:2009-10,WEO by country groups (2009-10 release),WEO,World Economic Outlook,,
66,IMF,International Monetary Fund,World,WEOAGG:2009-04,WEO by country groups (2009-04 release),WEO,World Economic Outlook,,
67,IMF,International Monetary Fund,World,WEOAGG:2008-10,WEO by country groups (2008-10 release),WEO,World Economic Outlook,,
68,IMF,International Monetary Fund,World,WEOAGG:2008-04,WEO by country groups (2008-04 release),WEO,World Economic Outlook,,
69,IMF,International Monetary Fund,World,WEO:2024-10,World Economic Outlook by countries (2024-10 release),WEO,World Economic Outlook,,
70,IMF,International Monetary Fund,World,WEO:2024-04,World Economic Outlook by countries (2024-04 release),WEO,World Economic Outlook,,
71,IMF,International Monetary Fund,World,WEO:2023-10,World Economic Outlook by countries (2023-10 release),WEO,World Economic Outlook,,
72,IMF,International Monetary Fund,World,WEO:2023-04,World Economic Outlook by countries (2023-04 release),WEO,World Economic Outlook,,
73,IMF,International Monetary Fund,World,WEO:2022-10,World Economic Outlook by countries (2022-10 release),WEO,World Economic Outlook,,
74,IMF,International Monetary Fund,World,WEO:2022-04,World Economic Outlook by countries (2022-04 release),WEO,World Economic Outlook,,
75,IMF,International Monetary Fund,World,WEO:2021-10,WEO by countries (2021-10 release),WEO,World Economic Outlook,,
76,IMF,International Monetary Fund,World,WEO:2021-04,WEO by countries (2021-04 release),WEO,World Economic Outlook,,
77,IMF,International Monetary Fund,World,WEO:2020-10,WEO by countries (2020-10 release),WEO,World Economic Outlook,,
78,IMF,International Monetary Fund,World,WEO:2020-04,WEO by countries (2020-04 release),WEO,World Economic Outlook,,
79,IMF,International Monetary Fund,World,WEO:2019-10,WEO by countries (2019-10 release),WEO,World Economic Outlook,,
80,IMF,International Monetary Fund,World,WEO:2019-04,WEO by countries (2019-04 release),WEO,World Economic Outlook,,
81,IMF,International Monetary Fund,World,WEO:2018-10,WEO by countries (2018-10 release),WEO,World Economic Outlook,,
82,IMF,International Monetary Fund,World,WEO:2018-04,WEO by countries (2018-04 release),WEO,World Economic Outlook,,
83,IMF,International Monetary Fund,World,WEO:2017-10,WEO by countries (2017-10 release),WEO,World Economic Outlook,,
84,IMF,International Monetary Fund,World,WEO:2017-04,WEO by countries (2017-04 release),WEO,World Economic Outlook,,
85,IMF,International Monetary Fund,World,WEO:2016-10,WEO by countries (2016-10 release),WEO,World Economic Outlook,,
86,IMF,International Monetary Fund,World,WEO:2016-04,WEO by countries (2016-04 release),WEO,World Economic Outlook,,
87,IMF,International Monetary Fund,World,WEO:2015-10,WEO by countries (2015-10 release),WEO,World Economic Outlook,,
88,IMF,International Monetary Fund,World,WEO:2015-04,WEO by countries (2015-04 release),WEO,World Economic Outlook,,
89,IMF,International Monetary Fund,World,WEO:2014-10,WEO by countries (2014-10 release),WEO,World Economic Outlook,,
90,IMF,International Monetary Fund,World,WEO:2014-04,WEO by countries (2014-04 release),WEO,World Economic Outlook,,
91,IMF,International Monetary Fund,World,WEO:2013-10,WEO by countries (2013-10 release),WEO,World Economic Outlook,,
92,IMF,International Monetary Fund,World,WEO:2013-04,WEO by countries (2013-04 release),WEO,World Economic Outlook,,
93,IMF,International Monetary Fund,World,WEO:2012-10,WEO by countries (2012-10 release),WEO,World Economic Outlook,,
94,IMF,International Monetary Fund,World,WEO:2012-04,WEO by countries (2012-04 release),WEO,World Economic Outlook,,
95,IMF,International Monetary Fund,World,WEO:2011-04,WEO by countries (2011-04 release),WEO,World Economic Outlook,,
96,IMF,International Monetary Fund,World,WEO:2010-10,WEO by countries (2010-10 release),WEO,World Economic Outlook,,
97,IMF,International Monetary Fund,World,WEO:2010-04,WEO by countries (2010-04 release),WEO,World Economic Outlook,,
98,IMF,International Monetary Fund,World,WEO:2009-10,WEO by countries (2009-10 release),WEO,World Economic Outlook,,
99,IMF,International Monetary Fund,World,WEO:2009-04,WEO by countries (2009-04 release),WEO,World Economic Outlook,,
100,IMF,International Monetary Fund,World,WEO:2008-10,WEO by countries (2008-10 release),WEO,World Economic Outlook,,
101,IMF,International Monetary Fund,World,WEO:2008-04,WEO by countries (2008-04 release),WEO,World Economic Outlook,,
102,IMF,International Monetary Fund,World,WEOAGG:2025-04,World Economic Outlook by country groups (2025-04 release),WEO,World Economic Outlook,,
103,IMF,International Monetary Fund,World,WEO:2025-04,World Economic Outlook by countries (2025-04 release),WEO,World Economic Outlook,,
104,IMF,International Monetary Fund,World,WHDREO,Western Hemisphere Regional Economic Outlook (WHDREO),,,,
105,IMF,International Monetary Fund,World,WoRLD,World Revenue Longitudinal Data (WoRLD),,,,
106,WB,World Bank,World,commodity_prices,Commodity Prices: History and Projections,,,,
107,WB,World Bank,World,DBS,Doing Business,,,,
108,WB,World Bank,World,ESY,Enterprise Surveys,,,,
109,WB,World Bank,World,FDX,Global Financial Inclusion,,,,
110,WB,World Bank,World,GEM,Global Economic Monitor,,,,
111,WB,World Bank,World,GEP,Global Economic Prospects,,,,
112,WB,World Bank,World,IDA,IDA Results Measurement System,,,,
113,WB,World Bank,World,JED,Joint External Debt Hub,,,,
114,WB,World Bank,World,JOB,Jobs,,,,
115,WB,World Bank,World,PSD,Quarterly Public Sector Debt,,,,
116,WB,World Bank,World,QDG,Quarterly External Debt Statistics GDDS,,,,
117,WB,World Bank,World,QDS,Quarterly External Debt Statistics SDDS,,,,
118,WB,World Bank,World,WDI,World Development Indicators,,,,
119,WB,World Bank,World,WGI,Worldwide Governance Indicators,,,,
120,OECD,Organisation for Economic Co-operation and Development,World,DSD_AGR_POLIND@BP_CGE,"Contribution of Budgetary Payments to change in Producer Support Estimate by country, 2023 to 2024",AGR,Agriculture and fisheries,AGR_PLM,Agricultural policy monitoring
121,OECD,Organisation for Economic Co-operation and Development,World,DSD_AGR_POLIND@DF_BOR_PRI,"Contribution to change in Border Price by country, 2023 to 2024",AGR,Agriculture and fisheries,AGR_PLM,Agricultural policy monitoring
122,OECD,Organisation for Economic Co-operation and Development,World,DSD_AGR_POLIND@DF_COMGSSE,Composition of General Services Support Estimate,AGR,Agriculture and fisheries,AGR_PLM,Agricultural policy monitoring
123,OECD,Organisation for Economic Co-operation and Development,World,DSD_AGR_POLIND@DF_COMM,Single commodity indicators,AGR,Agriculture and fisheries,AGR_PLM,Agricultural policy monitoring
124,OECD,Organisation for Economic Co-operation and Development,World,DSD_AGR_POLIND@DF_COMPSE,Composition of Producer Support Estimate,AGR,Agriculture and fisheries,AGR_PLM,Agricultural policy monitoring
125,OECD,Organisation for Economic Co-operation and Development,World,DSD_AGR_POLIND@DF_CSE,Consumer Support Estimate (CSE),AGR,Agriculture and fisheries,AGR_PLM,Agricultural policy monitoring
126,OECD,Organisation for Economic Co-operation and Development,World,DSD_AGR_POLIND@DF_GSSE,General Services Support Estimate (GSSE),AGR,Agriculture and fisheries,AGR_PLM,Agricultural policy monitoring
127,OECD,Organisation for Economic Co-operation and Development,World,DSD_AGR_POLIND@DF_MONEVA,Agricultural Policy Monitoring and Evaluation: all data,AGR,Agriculture and fisheries,AGR_PLM,Agricultural policy monitoring
128,OECD,Organisation for Economic Co-operation and Development,World,DSD_AGR_POLIND@DF_MONREF,Estimates of Support to Agriculture,AGR,Agriculture and fisheries,AGR_PLM,Agricultural policy monitoring
129,OECD,Organisation for Economic Co-operation and Development,World,DSD_AGR_POLIND@DF_POL,Characteristics of producer policy support,AGR,Agriculture and fisheries,AGR_PLM,Agricultural policy monitoring
130,OECD,Organisation for Economic Co-operation and Development,World,DSD_AGR_POLIND@DF_PSE,Producer Support Estimate (PSE),AGR,Agriculture and fisheries,AGR_PLM,Agricultural policy monitoring
131,OECD,Organisation for Economic Co-operation and Development,World,DSD_AGR_POLIND@DF_PSE_CGE,"Contribution to change in Producer Support Estimate by country, 2023 to 2024",AGR,Agriculture and fisheries,AGR_PLM,Agricultural policy monitoring
132,OECD,Organisation for Economic Co-operation and Development,World,DSD_AGR_POLIND@DF_TSE,Total Support Estimate (TSE),AGR,Agriculture and fisheries,AGR_PLM,Agricultural policy monitoring
133,OECD,Organisation for Economic Co-operation and Development,World,DSD_AGR@DF_OUTLOOK_2025_2034,OECD-FAO Agricultural Outlook 2025-2034,AGR,Agriculture and fisheries,AGR_TRD,Agricultural trade and markets
135,OECD,Organisation for Economic Co-operation and Development,World,DSD_DAC2@DF_DAC4,DAC4: Private direct investment and other private capital,DEV,Development,,
136,OECD,Organisation for Economic Co-operation and Development,World,DSD_FFS@DF_FFS_ALB,Inventory of Energy Subsidies and Support Measures in the Western Balkans - Albania,DEV,Development,,
