index,Provider Id,Provider Name,Provider Region,Dataset Id,Dataset Name,Subgroup 1 Id,Subgroup 1 Name,Subgroup 2 Id,Subgroup 2 Name
2,IMF,International Monetary Fund,World,BOP,Balance of Payments (BOP),,,,
5,IMF,International Monetary Fund,World,COFER,Currency Composition of Official Foreign Exchange Reserves (COFER),,,,
6,IMF,International Monetary Fund,World,CPI,Consumer Price Index (CPI),,,,
10,IMF,International Monetary Fund,World,FDI,Financial Development Index,,,,
12,IMF,International Monetary Fund,World,FM,Fiscal Monitor (FM),,,,
13,IMF,International Monetary Fund,World,FSI,Financial Soundness Indicators (FSIs),,,,
16,IMF,International Monetary Fund,World,GENDER_EQUALITY,Gender Equality,,,,
21,IMF,International Monetary Fund,World,GFSMAB,"Government Finance Statistics (GFS), Main Aggregates and Balances",,,,
24,IMF,International Monetary Fund,World,HPDD,Historical Public Debt (HPDD),,,,
25,IMF,International Monetary Fund,World,IFS,International Financial Statistics (IFS),,,,
26,IMF,International Monetary Fund,World,IRFCL,International Reserves and Foreign Currency Liquidity (IRFCL),,,,
28,IMF,International Monetary Fund,World,MFS,Monetary and Financial Statistics (MFS),,,,
30,IMF,International Monetary Fund,World,PCPS,Primary Commodity Price System (PCPS),,,,
32,IMF,International Monetary Fund,World,PGCS,Private and Public Capital Stock Dataset,,,,
33,IMF,International Monetary Fund,World,PGI,Principal Global Indicators (PGI),,,,
34,IMF,International Monetary Fund,World,PSBSFAD,Public Sector Balance Sheet (PSBS)(FAD),,,,
105,IMF,International Monetary Fund,World,WoRLD,World Revenue Longitudinal Data (WoRLD),,,,
107,WB,World Bank,World,DBS,Doing Business,,,,
108,WB,World Bank,World,ESY,Enterprise Surveys,,,,
109,WB,World Bank,World,FDX,Global Financial Inclusion,,,,
110,WB,World Bank,World,GEM,Global Economic Monitor,,,,
111,WB,World Bank,World,GEP,Global Economic Prospects,,,,
112,WB,World Bank,World,IDA,IDA Results Measurement System,,,,
113,WB,World Bank,World,JED,Joint External Debt Hub,,,,
114,WB,World Bank,World,JOB,Jobs,,,,
118,WB,World Bank,World,WDI,World Development Indicators,,,,
119,WB,World Bank,World,WGI,Worldwide Governance Indicators,,,,
967,BIS,Bank for International Settlements,World,WS_GLI,Global liquidity indicators,BISWEB_CATSCHEME,"BISWEB_CATSCHEME",WEBSTATS_GLI,"Global liquidity"
968,BIS,Bank for International Settlements,World,WS_TC,BIS long series on total credit,BISWEB_CATSCHEME,"BISWEB_CATSCHEME",WEBSTATS_TOTCRED,"Total credit"
969,BIS,Bank for International Settlements,World,WS_CREDIT_GAP,BIS credit-to-GDP gaps,BISWEB_CATSCHEME,"BISWEB_CATSCHEME",WEBSTATS_CREDGAP,"Credit gaps"
970,BIS,Bank for International Settlements,World,WS_DSR,BIS debt service ratio,BISWEB_CATSCHEME,"BISWEB_CATSCHEME",WEBSTATS_DSR,"Debt service ratio"
973,BIS,Bank for International Settlements,World,WS_XRU,US dollar exchange rates,BISWEB_CATSCHEME,"BISWEB_CATSCHEME",WEBSTATS_EXCHRATES,"Exchange rates"
975,UNCTAD,United Nation Conference on Trade and Development,World,MTTASA,"Merchandise: Total trade and share, annual",,International merchandise trade,,Trade value and volume
976,UNCTAD,United Nation Conference on Trade and Development,World,MTBA,"Merchandise: Trade balance, annual",,International merchandise trade,,Trade value and volume
977,UNCTAD,United Nation Conference on Trade and Development,World,MTTGRA,"Merchandise: Total trade growth rates, annual",,International merchandise trade,,Trade value and volume
979,UNCTAD,United Nation Conference on Trade and Development,World,MPCADIOEAIA,"Merchandise: Product concentration and diversification indices of exports and imports, annual",,International merchandise trade,,Trade indicators
