COUNTRY_PERIOD_INDEX,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,NY.GDP.MKTP.PP.CD,NY.GDP.PCAP.CD,NY.GDP.PCAP.KD.ZG,NE.GDI.TOTL.KD.ZG,NE.GDI.TOTL.ZS,NV.IND.TOTL.CD,NV.IND.TOTL.KD.ZG,NV.IND.TOTL.ZS,SL.IND.EMPL.ZS,NV.SRV.TOTL.CD,NV.SRV.TOTL.KD.ZG,NV.SRV.TOTL.ZS,NY.GNP.MKTP.KD.ZG,NY.GNP.MKTP.PP.CD,BG.GSR.NFSV.GD.ZS,CM.MKT.LCAP.GD.ZS,CM.MKT.TRAD.GD.ZS,NY.GDS.TOTL.ZS,NY.GNS.ICTR.ZS,NE.TRD.GNFS.ZS,GC.DOD.TOTL.GD.ZS,DT.DOD.DIMF.CD,GC.REV.XGRT.GD.ZS,GC.XPN.TOTL.GD.ZS,FP.CPI.TOTL.ZG,NY.GDP.DEFL.KD.ZG,FR.INR.RINR,FM.LBL.BMNY.GD.ZS,FM.LBL.BMNY.ZG,BN.CAB.XOKA.CD,NE.IMP.GNFS.ZS,NE.EXP.GNFS.ZS,BN.CAB.XOKA.GD.ZS,GC.TAX.INTT.RV.ZS,BM.KLT.DINV.WD.GD.ZS,BX.KLT.DINV.WD.GD.ZS,DT.DOD.DECT.GN.ZS,DT.DOD.DLXF.CD,DT.DOD.DSTC.CD,DT.TDS.DECT.CD,NE.RSB.GNFS.ZS,FI.RES.TOTL.MO,NE.EXP.GNFS.CD,NE.IMP.GNFS.CD,TX.VAL.TECH.CD,DT.TDS.DECT.GN.ZS,DT.DOD.DSTC.IR.ZS,GC.XPN.INTP.RV.ZS,GC.XPN.INTP.ZS,FR.INR.DPST,FR.INR.LEND,NE.CON.GOVT.ZS,NE.CON.PRVT.ZS,NE.CON.TOTL.ZS,NE.DAB.TOTL.ZS,FS.AST.DOMO.GD.ZS,SL.UEM.1524.ZS,SL.UEM.INTM.ZS,SL.UEM.BASC.ZS,SL.UEM.TOTL.ZS,EN.URB.LCTY.UR.ZS,SP.POP.TOTL,SP.POP.GROW,SP.URB.TOTL.IN.ZS,EN.POP.DNST,SE.PRM.CUAT.ZS,SP.POP.DPND,SL.TLF.CACT.ZS,IQ.CPA.BREG.XQ,IQ.CPA.PADM.XQ,FS.AST.PRVT.GD.ZS,FM.AST.PRVT.GD.ZS
ABW-1999,1722905027.93296,1.2380418420716,2489440705.42339,19216.1972354472,-0.12596572599432,,30.8690012970169,267882681.564246,,15.5483138780804,,1393061452.51397,,80.8553826199741,,2422397221.94491,94.8988326848249,,,26.1997405966278,20.6501297016861,164.559014267185,,,,,2.28037198258753,2.19006066092493,10.7168994077419,55.0936770428016,10.4169956582854,-435513966.480446,84.6303501945525,79.928664072633,-25.2778858625162,,-0.103761348897535,27.1368352788586,,,,,-4.70168612191959,1.78749876312095,1377094972.06704,1458100558.65922,,,,,,6.16666666666667,13.1416666666667,21.8547341115435,51.9455252918288,73.8002594033723,104.669260700389,,,,,,,89659.0,1.35648590551186,65.3614858587949,498.105555555556,,43.6697806335828,,,,44.6205252918288,44.6205252918288
AFG-1999,,,,,,,,,,,12.9839529264061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.18,,,7.877,62.8326346184711,19887785.0,3.72811603964771,18.3903267537499,30.49198135627,,108.686030843852,46.609,,,,
AGO-1999,6152923310.44546,2.18148971840462,56696215287.6417,392.725539027496,-1.1307987789491,,,,,,8.13486660560372,,,,,47581922707.8733,44.6542214387048,,,,,,,374707057.4,42.0091980140935,19.6524460019801,248.195902412868,557.501113091215,-72.5785001611618,22.8493546482441,528.194325839382,-1710410000.0,,,-27.7983311948052,1.99433707468756,-0.00143492768470095,40.1672485630423,223.247861326023,8713044776.2,1585490036.8,1442655895.2,,0.830557757873481,,,,30.1754468926608,322.647420662128,0.241295891944048,0.515795687907934,36.5725,80.2966666666666,,,,,,38.867,,,16.543,34.4199742769973,15667235.0,3.29527663572252,49.2595265298203,12.5669647870378,,93.5866772056373,77.38,,,,2.57338628868441
ALB-1999,3283941510.49964,12.2507281968475,11033900449.8991,1056.34481153033,12.9639268824224,31.1908300040196,24.2715109633495,608291529.326575,20.1392523397319,18.5232144781417,15.6087309242592,1492720598.11731,16.7168484567077,45.4551517846673,15.7178134805801,11286806897.1092,14.0349637326481,,,7.32295945336238,19.5421402867081,49.8954184095195,,144308798.7,,,0.389437653561628,2.78507709416616,18.3197049982099,64.5783078882982,22.2711083945931,-155400000.0,33.4219849707784,16.4734334387411,-4.73211838588308,,,1.25458994529204,23.0141128417427,599745362.1,29038739.8,25623352.8,-16.9485515320372,6.56351661658566,540977918.899348,1097558438.08834,,0.762778615953291,5.55114862034797,,,12.9458333333333,21.615,11.147365193997,81.5296753526406,92.6770405466376,116.948551509987,,33.211,,,20.835,25.5828586619852,3108778.0,-0.63335227398725,40.8972844798541,113.459051094891,,59.0642631536668,62.061,,,,4.11698824255939
AND-1999,1240295198.78331,4.0990789217793,2075776156.14411,18875.2883698571,3.57945484802578,,,,,,,,,,,,,,,,,,,,,,,2.73197952535102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65710.0,0.500412968697236,92.5402819766179,139.808510638298,,37.3996319839411,,,,,
ARE-1999,84445473110.9598,2.90221363963283,286291652042.917,25855.8605046587,-4.20539217851939,,,35484547311.096,,42.0206625694073,42.8024985774201,46990605854.3227,,55.6460922334793,,286077773274.654,,,,,,,,,6.51896326009429,6.20006062052198,,8.44337746020061,,35.501376859728,11.4542840945902,,,,,,0.375516186146921,-1.16683578609984,,,,,,,,,,,,,,,,,,,,,4.979,,,2.195,32.9125418624776,3266009.0,7.15727575370797,78.9002662187301,45.9871726274289,,30.1512914467431,74.601,,,,35.5652218775594
ARG-1999,283523000000.0,-3.38545704063269,421808836974.514,7705.54288252851,-4.49306655170841,-16.921669009796,17.8629278753399,74264967000.0,-6.62248952143577,26.1936304991129,21.7393029257151,180002318200.0,-1.94293659354219,63.4877305192171,-4.94299521753815,410704753670.788,4.76483230820728,19.6977246995835,4.1838545726449,16.1345234778131,13.6619163753345,21.3827449624898,,4914919735.8,14.0111384261594,16.7436856974566,,-1.83655839220664,,31.44367758524,4.0855896589592,-11942825328.0157,11.5555704475475,9.82717451494235,-4.21229506178183,5.56478572579346,0.610279589310215,8.46058217133802,55.0294127610094,117583670975.5,29415210000.0,25310657084.8,-1.72839593260512,6.80464213303424,27862300000.0,32762700000.0,,9.16855867900237,111.631982910515,20.6435274689866,17.2745311993124,,,13.7232114149469,70.1422650719695,83.8654765221869,101.728404397527,,30.518,,,14.05,37.7529533185274,36794682.0,1.15304317167294,88.9851757922053,13.4449579601636,,61.2236911618814,62.542,,,24.8933437498898,24.136100774893
ARM-1999,1845482173.02732,3.30000000058166,7527115894.1806,582.669886150895,4.64095231749397,-2.88536513372642,20.7688804703858,,6.01442157782213,,14.6712846596869,,4.34165095878831,,3.121150132726,7751264570.39818,18.1002153512339,,,-8.27513601062892,2.83405555049927,70.5604791440404,,321997230.2,,,0.648245760470385,0.0538040809325366,38.7736674369924,11.0846117712931,13.9705114029099,-312542932.852966,49.8022321913836,20.7582469526567,-16.9355704119467,,,6.61258080861414,53.8084288501274,651398849.6,49200000.0,63147484.8,-29.0439852387269,3.86650095663085,383089746.944268,919091316.86166,,3.3227850272904,16.2102422994846,,,27.3491666666666,38.8483333333333,12.230469548754,96.0446664618749,108.275136010629,129.044016481015,,12.216,,,11.2,54.139840401385,3167286.0,-1.28976124297341,65.1678732605826,111.249947312961,,58.1037949459291,62.292,,,,8.73147780051416
ATG-1999,835544444.444444,3.70774594512658,1332498765.77347,11342.3349230913,1.94235195854947,,,106122222.222222,7.75618963028755,12.7009667681751,,632355555.555555,3.36855807244598,75.6818574715089,,1295109156.48302,73.1946427922357,,,,,,,,,,1.12128789571146,2.01107899387343,9.86245684952877,73.6300707456216,24.8354371368629,-60425901.1111111,,,-7.23191944041809,,,6.1986568970332,,,,,,1.4824079861624,,,,,,,,4.4495482947416,12.0718776413829,,,,,,,,,,,73666.0,1.71693315212405,32.7288426074498,167.422727272727,,54.8429814604616,,,,53.0151996702084,53.0151996702084
AUS-1999,390347787943.351,5.02822035850596,480293766143.645,20749.6443779096,3.88549898573662,,26.0993037595699,96043363830.0539,3.48807023400191,24.6045620845153,21.7492540046205,251245770146.635,5.39907504785833,64.3645943199495,,465342534407.649,9.73655876477111,109.603633788771,50.9310943063041,23.6633451968721,20.5938348860108,38.9602467102359,31.0107125026288,,25.0477993055255,24.458314671136,1.48313946657267,0.481468519255969,6.05604022023678,69.2405377602473,11.7042580988803,-21795709492.9592,20.6981026364668,18.2621440737691,-5.58366414929506,2.31456285814899,0.0797660284987916,0.566396956795571,,,,,-2.43595856269776,2.50413414734259,71285875422.9853,80794585787.6927,,,,7.56154560297084,7.75163269994421,4.05911016949153,6.56666666666667,18.6973545432216,57.6393002599062,76.3366548031279,102.435958562698,,13.111,,,6.876,23.7220093856256,18812264.0,1.09397580294231,85.1245230581889,2.44878018301811,,49.6367192474489,62.908,,,83.9046994061809,83.9046994061809
AUT-1999,216421809125.916,3.76192435190464,219789588984.161,27078.7081612201,3.56023814714031,3.61394607701733,26.2733169274141,62246879133.0785,3.17356912948586,28.7618329153061,28.8799525440561,126208289890.279,3.55910701946844,58.3158834130484,2.69300541997781,216293648920.994,,15.258605467431,5.45840091056952,26.8524036549494,,78.5629329772961,,,44.5133113095063,47.1823690669959,0.56899376588553,0.219322750162448,,,,,39.0536203889869,39.5093125883092,,0.029766335913706,1.52522145218715,1.37439937408037,,,,,0.455692199322266,,85506769076.8318,84520551775.0129,,,,7.62297705835313,7.23022572393687,,,19.9204421915907,53.8393682178094,73.1475963450506,99.4209132724648,,5.921,4.351,7.457,4.699,29.0600920045259,7992324.0,0.194563153264961,66.6585047330725,96.8531749878817,100.0,48.4964969480677,58.575,,,,
