COUNTRY_PERIOD_INDEX,YEAR,ISO3_COUNTRY_CODE,GEO_REGION,ADMIN_REGION,LENDING_TYPE,INCOME_GROUP,GE.EST,NY.GDP.PCAP.CD,DT.DOD.DLXF.CD,DT.DOD.DIMF.CD,SP.URB.TOTL.IN.ZS,SP.POP.TOTL,FS.AST.PRVT.GD.ZS,DT.DOD.DECT.GN.ZS,FR.INR.LEND,EN.URB.LCTY.UR.ZS,SP.POP.DPND,NY.GDP.MKTP.CD,EN.POP.DNST,FR.INR.DPST,NV.SRV.TOTL.ZS,BM.KLT.DINV.WD.GD.ZS,NY.GDS.TOTL.ZS,GC.XPN.TOTL.GD.ZS,SL.IND.EMPL.ZS,SP.POP.GROW,GC.TAX.INTT.RV.ZS,NE.RSB.GNFS.ZS,SL.UEM.INTM.ZS,NE.CON.GOVT.ZS,NY.GNS.ICTR.ZS,SL.TLF.CACT.ZS,FP.CPI.TOTL.ZG,GC.XPN.INTP.RV.ZS,BN.CAB.XOKA.GD.ZS,NE.GDI.TOTL.ZS,NE.TRD.GNFS.ZS,FR.INR.RINR,BG.GSR.NFSV.GD.ZS,NV.SRV.TOTL.KD.ZG,NY.GNP.MKTP.KD.ZG,NY.GDP.MKTP.KD.ZG,BX.KLT.DINV.WD.GD.ZS,NV.IND.TOTL.KD.ZG
AFG-1999,1999,AFG,MEA,MNA,IDX,LIC,,,,,18.3903267537499,19887785.0,,,,62.8326346184711,108.686030843852,,30.49198135627,,,,,,12.9839529264061,3.72811603964771,,,,,,46.609,,,,,,,,,,,,
AFG-2000,2000,AFG,MEA,MNA,IDX,LIC,-2.17394614219666,174.930991430166,,,18.5581995230666,20130327.0,,,,64.2725062676902,109.586047730495,3521418059.92345,30.8638471091486,,,0.0,,,12.8762357304282,1.21217597601851,,,,,,46.562,,,,,,,,,,,0.0048276006173403,
AFG-2008,2008,AFG,MEA,MNA,IDX,LIC,-1.52779507637024,381.73323802844,1994506003.0,131081597.8,21.1241481349633,26482622.0,9.38832772083979,21.2121323521857,14.9175,55.9477375609289,106.334375525183,10109297047.5432,40.6031951918802,,45.4098308716488,-0.0189729921329406,,50.7192978736512,14.2724927619635,2.18654618162979,3.1614885422599,,,,,46.682,26.4186641547444,0.0227439817495691,-2.35799044700136,,,12.5579601438018,20.211725717135,14.8544491164925,,3.92498381999467,0.45536044478174,5.74181789016215
AFG-2009,2009,AFG,MEA,MNA,IDX,LIC,-1.50775218009949,452.053705477043,2106108788.4,352752616.2,21.6885475109053,27466101.0,10.58413068423,20.0367248536922,15.0,53.8590578677381,104.799467490534,12416152732.0567,42.1110666482682,,45.2444349261482,0.0019902383593864,,44.3178392396772,15.7209119699527,3.64638090813246,4.84404133508532,,,,,46.746,-6.81116108898996,0.0241408385372253,2.23601941932175,,,17.5429289286094,20.56213709976,17.9833820865992,,21.3905283926492,0.45188914562189,6.10714113128491
AFG-2010,2010,AFG,MEA,MNA,IDX,LIC,-1.47831559181213,560.621505463146,1975547213.6,355229891.1,22.2614799010924,28284089.0,11.5750442390122,15.3334973971382,15.6122222222222,52.235804993189,103.144455694301,15856668555.8336,43.3652070588596,,48.8793769096891,-0.0078708051698206,,50.8630045999057,16.9843225135611,2.93468670173474,4.55485875517243,,,,,46.815,2.17853752389419,0.0142406244757753,-3.64331388234628,,,11.3640937418183,20.265307705621,18.3554054215666,,14.3624414710737,1.20311798981139,6.27060133814976
AFG-2011,2011,AFG,MEA,MNA,IDX,LIC,-1.47410047054291,606.694676337726,2032464249.9,372555169.2,22.8205691572485,29347708.0,4.95918037606027,13.9770517017747,15.1458333333333,50.343361532698,101.458308292088,17805098206.3141,44.9959492816951,,49.6968203962567,0.0063865830761662,,59.4847758807514,17.5647106902863,3.69150308391849,3.83063551304399,,,,,46.884,11.8041858089129,0.0115304161481487,-12.6195382087159,,,-1.24150600982001,23.3342231741652,9.79068588046582,,0.426354776777345,0.293025179616803,9.8076704185067
AFG-2012,2012,AFG,MEA,MNA,IDX,LIC,-1.37553513050079,651.417134470046,2079786013.4,387633123.4,23.3434391310979,30560034.0,4.47210362973721,12.9281604362278,15.0,48.4526329231851,99.7731309368865,19907329777.5872,46.8546892967205,,50.5793979236606,-0.0445104966004486,,42.3292514484608,18.922538408842,4.04786256315645,4.22465221404652,,,,,46.956,6.44121280934117,0.0171919009003097,-25.8706814974751,,,7.17438724753763,18.2504471777066,13.6573397412116,,12.7522870926697,0.285440893554571,6.3940710078319
AFG-2013,2013,AFG,MEA,MNA,IDX,LIC,-1.40146291255951,637.087099117099,2106231492.2,375643168.3,23.8077136743646,31622704.0,4.3216854169302,12.8048363659593,15.0791666666667,47.0633552421067,98.063558808759,20146416757.5987,48.4839765113534,,52.6827434733525,0.0026670697666708,,42.0936844468805,21.3458275277614,3.41822667584596,3.70364318441929,,,,,47.026,7.38577178397855,0.0350619479814528,-25.290058564309,,,9.78449593859924,11.9424039644066,7.82655196497619,,5.60074465863221,0.239801184405551,5.06099068169274
AFG-2014,2014,AFG,MEA,MNA,IDX,LIC,-1.36164617538452,625.054941813938,2020951888.7,334839124.6,24.1910166387726,32792523.0,3.94105709996345,12.3049882693651,15.0,45.7877218072457,96.3463937851296,20497128555.6972,50.2775447311531,,52.9908650351499,-9.34458242055625e-05,,44.5892994893339,23.8556617856929,3.63251884652008,3.80654923758403,,10.621,,,47.096,4.67399603536345,0.0518220686884564,-15.7724198274304,,,14.3516893380043,13.866416240527,4.53015392983139,,2.72454336219565,0.209664794672203,2.76578053402486
AFG-2015,2015,AFG,MEA,MNA,IDX,LIC,-1.39739489555359,565.569730408751,2008954793.3,300161714.8,24.4649118421568,33831764.0,3.98149379462535,13.4908301094464,15.0,44.9871093213398,94.6132337112821,19134221644.7325,51.8709105683578,,53.2352934986503,0.0113046306689472,,37.0225695736427,22.6191439151609,3.11995924146907,4.57093222075209,,,,,47.165,-0.661709164713742,0.101941745643207,-21.9126573355151,,,12.2525481629518,10.7426793181858,2.13510778282216,,1.45131466066431,0.88400046336123,4.17112134442286
