COUNTRY_PERIOD_INDEX,OECD_RATING
AFG-1999,7
AFG-2000,7
AFG-2008,7
AFG-2009,7
AFG-2010,7
AFG-2011,7
AFG-2012,7
AFG-2013,7
AFG-2014,7
AFG-2015,7
AFG-2016,7
AFG-2017,7
AFG-2018,7
AFG-2019,7
AFG-2020,7
AFG-2021,7
AFG-2022,7
AFG-2023,7
ALB-1999,7
ALB-2000,7
ALB-2001,7
ALB-2002,7
ALB-2003,7
ALB-2004,7
ALB-2005,6
ALB-2006,6
ALB-2007,6
ALB-2008,6
ALB-2009,6
ALB-2010,6
ALB-2011,6
ALB-2012,6
ALB-2013,6
ALB-2014,6
ALB-2015,6
ALB-2016,6
ALB-2017,6
ALB-2018,6
ALB-2019,6
ALB-2020,5
ALB-2021,5
ALB-2022,5
ALB-2023,5
DZA-1999,6
DZA-2000,6
DZA-2001,5
DZA-2002,5
DZA-2003,4
DZA-2004,4
DZA-2005,4
DZA-2006,3
DZA-2007,3
DZA-2008,3
DZA-2009,3
DZA-2010,3
DZA-2011,3
DZA-2012,3
DZA-2013,3
DZA-2014,3
DZA-2015,3
DZA-2016,3
DZA-2017,4
DZA-2018,4
DZA-2019,4
DZA-2020,4
DZA-2021,5
DZA-2022,5
DZA-2023,5
AGO-1999,7
AGO-2000,7
AGO-2001,7
AGO-2002,7
AGO-2003,7
AGO-2004,7
AGO-2005,7
AGO-2006,7
AGO-2007,7
AGO-2008,7
AGO-2009,6
AGO-2010,6
AGO-2011,6
AGO-2012,6
AGO-2013,5
AGO-2014,5
AGO-2015,5
AGO-2016,5
AGO-2017,6
AGO-2018,6
AGO-2019,6
AGO-2020,6
AGO-2021,6
AGO-2022,6
AGO-2023,6
ATG-1999,7
ATG-2000,7
ATG-2001,7
ATG-2002,7
ATG-2003,7
ATG-2004,7
ATG-2005,7
ATG-2006,7
ATG-2007,7
ATG-2008,6
ATG-2009,6
ATG-2010,6
ATG-2011,6
ATG-2012,6
ATG-2013,6
ATG-2014,6
ATG-2015,1
ATG-2016,1
ATG-2017,1
ATG-2018,1
ATG-2019,1
ATG-2020,1
ATG-2021,1
ATG-2022,1
ATG-2023,1
ARG-1999,5
ARG-2000,5
ARG-2001,6
ARG-2002,6
ARG-2003,7
ARG-2004,7
ARG-2005,7
ARG-2006,7
ARG-2007,7
ARG-2008,7
ARG-2009,7
ARG-2010,7
ARG-2011,7
ARG-2012,7
ARG-2013,7
ARG-2014,7
ARG-2015,7
ARG-2016,7
ARG-2017,6
ARG-2018,6
ARG-2019,6
ARG-2020,7
ARG-2021,7
ARG-2022,7
ARG-2023,7
ARM-1999,7
ARM-2000,7
ARM-2001,7
ARM-2002,7
ARM-2003,7
ARM-2004,7
ARM-2005,7
ARM-2006,7
ARM-2007,6
ARM-2008,6
ARM-2009,6
ARM-2010,6
ARM-2011,6
ARM-2012,6
ARM-2013,6
ARM-2014,6
ARM-2015,6
ARM-2016,6
ARM-2017,6
ARM-2018,6
ARM-2019,6
ARM-2020,6
ARM-2021,6
ARM-2022,6
ARM-2023,6
ABW-2001,4
ABW-2002,4
ABW-2003,4
ABW-2004,4
ABW-2005,4
ABW-2006,4
ABW-2007,4
ABW-2014,4
ABW-2015,4
ABW-2016,4
ABW-2017,4
ABW-2018,4
ABW-2019,4
ABW-2020,4
ABW-2021,5
ABW-2022,6
ABW-2023,5
AUS-1999,1
AUS-2000,1
AUS-2001,1
AUS-2002,1
AUS-2003,1
AUS-2004,1
AUS-2005,1
AUS-2006,1
AUS-2007,1
AUS-2008,1
AUS-2009,1
AUS-2010,1
AUS-2011,1
AUS-2012,1
AUS-2013,1
AUS-2014,1
AUS-2015,1
AUS-2016,1
AUS-2017,1
AUS-2018,1
AUS-2019,1
AUS-2020,1
AUS-2021,1
AUS-2022,1
AUS-2023,1
AUT-1999,1
AUT-2000,1
AUT-2001,1
AUT-2002,1
AUT-2003,1
AUT-2004,1
AUT-2005,1
AUT-2006,1
AUT-2007,1
AUT-2008,1
AUT-2009,1
AUT-2010,1
AUT-2011,1
AUT-2012,1
AUT-2013,1
AUT-2014,1
AUT-2015,1
AUT-2016,1
AUT-2017,1
AUT-2018,1
AUT-2019,1
AUT-2020,1
AUT-2021,1
AUT-2022,1
AUT-2023,1
AZE-1999,7
AZE-2000,7
AZE-2001,7
AZE-2002,7
AZE-2003,6
AZE-2004,6
AZE-2005,6
AZE-2006,6
AZE-2007,5
AZE-2008,5
AZE-2009,5
AZE-2010,5
AZE-2011,5
AZE-2012,5
AZE-2013,5
AZE-2014,5
AZE-2015,5
AZE-2016,5
AZE-2017,5
AZE-2018,5
AZE-2019,5
AZE-2020,5
AZE-2021,5
AZE-2022,5
AZE-2023,4
BHS-1999,3
BHS-2000,3
BHS-2001,3
BHS-2002,3
BHS-2003,3
BHS-2004,3
BHS-2005,3
BHS-2006,3
BHS-2007,3
BHS-2008,3
BHS-2009,3
BHS-2010,3
BHS-2011,3
BHS-2012,3
BHS-2013,3
BHS-2014,3
BHS-2015,3
BHS-2016,3
BHS-2017,3
BHS-2018,3
BHS-2019,3
BHS-2020,3
BHS-2021,4
BHS-2022,4
BHS-2023,4
BHR-1999,3
BHR-2000,3
BHR-2001,3
BHR-2002,3
BHR-2003,3
BHR-2004,3
BHR-2005,3
BHR-2006,3
BHR-2007,2
BHR-2008,2
BHR-2009,2
BHR-2010,2
BHR-2011,3
BHR-2012,4
BHR-2013,4
BHR-2014,4
BHR-2015,4
BHR-2016,4
BHR-2017,4
BHR-2018,4
BHR-2019,4
BHR-2020,5
BHR-2021,5
BHR-2022,6
BHR-2023,6
BGD-1999,5
BGD-2000,5
BGD-2001,5
BGD-2002,5
BGD-2003,6
BGD-2004,6
BGD-2005,6
BGD-2006,6
BGD-2007,6
BGD-2008,6
BGD-2009,6
BGD-2010,6
BGD-2011,6
BGD-2012,6
BGD-2013,6
BGD-2014,6
BGD-2015,6
BGD-2016,5
BGD-2017,5
BGD-2018,5
BGD-2019,5
BGD-2020,5
BGD-2021,5
BGD-2022,5
BGD-2023,5
BLR-1999,7
BLR-2000,7
BLR-2001,7
BLR-2002,7
BLR-2003,7
BLR-2004,7
BLR-2005,7
BLR-2006,7
BLR-2007,7
BLR-2008,7
BLR-2009,7
BLR-2010,7
BLR-2011,7
BLR-2012,7
BLR-2013,7
BLR-2014,7
BLR-2015,7
BLR-2016,7
BLR-2017,7
BLR-2018,7
BLR-2019,6
BLR-2020,6
BLR-2021,6
BLR-2022,6
BLR-2023,7
BEL-1999,1
BEL-2000,1
BEL-2001,1
BEL-2002,1
BEL-2003,1
BEL-2004,1
BEL-2005,1
BEL-2006,1
BEL-2007,1
BEL-2008,1
BEL-2009,1
BEL-2010,1
BEL-2011,1
BEL-2012,1
BEL-2013,1
BEL-2014,1
BEL-2015,1
BEL-2016,1
BEL-2017,1
BEL-2018,1
BEL-2019,1
BEL-2020,1
BEL-2021,1
BEL-2022,1
BEL-2023,1
BLZ-1999,5
BLZ-2000,5
BLZ-2001,5
BLZ-2002,5
BLZ-2003,6
BLZ-2004,6
BLZ-2005,6
BLZ-2006,7
BLZ-2007,7
BLZ-2008,7
BLZ-2009,6
BLZ-2010,6
BLZ-2011,6
BLZ-2012,6
BLZ-2017,7
BLZ-2018,7
BEN-1999,6
BEN-2000,6
BEN-2001,7
BEN-2002,7
BEN-2003,7
BEN-2004,7
BEN-2005,7
BEN-2006,7
BEN-2007,7
BEN-2008,6
BEN-2009,6
BEN-2010,6
BEN-2011,6
BEN-2012,6
BEN-2013,6
BEN-2014,6
BEN-2015,1
BEN-2016,1
BEN-2017,1
BEN-2018,1
BEN-2019,1
BEN-2020,1
BEN-2021,1
BEN-2022,1
BEN-2023,1
BTN-1999,6
BTN-2000,6
BTN-2014,6
BTN-2015,6
BTN-2016,6
BTN-2017,6
BTN-2018,6
BTN-2019,6
BTN-2020,6
BTN-2021,6
BTN-2022,6
BTN-2023,6
BOL-1999,6
BOL-2000,6
BOL-2001,7
BOL-2002,7
BOL-2003,7
BOL-2004,7
BOL-2005,7
BOL-2006,7
BOL-2007,7
BOL-2008,7
BOL-2009,7
BOL-2010,7
BOL-2011,6
BOL-2012,6
BOL-2013,6
BOL-2014,6
BOL-2015,5
BOL-2016,5
BOL-2017,5
BOL-2018,5
BOL-2019,5
BOL-2020,5
BOL-2021,5
BOL-2022,6
BOL-2023,6
BIH-1999,7
BIH-2000,7
BIH-2001,7
BIH-2002,7
BIH-2003,7
BIH-2004,7
BIH-2005,7
BIH-2006,7
BIH-2007,7
BIH-2008,7
BIH-2009,7
BIH-2010,7
BIH-2011,7
BIH-2012,7
BIH-2013,7
BIH-2014,7
BIH-2015,7
BIH-2016,7
BIH-2017,7
BIH-2018,7
BIH-2019,7
BIH-2020,7
BIH-2021,7
BIH-2022,7
BIH-2023,7
BWA-1999,2
BWA-2000,2
BWA-2001,2
BWA-2002,2
BWA-2003,2
BWA-2004,2
BWA-2005,2
BWA-2006,2
BWA-2007,2
BWA-2008,2
BWA-2009,2
BWA-2010,3
BWA-2011,3
BWA-2012,3
BWA-2013,2
BWA-2014,2
BWA-2015,2
BWA-2016,2
BWA-2017,2
BWA-2018,2
BWA-2019,2
BWA-2020,2
BWA-2021,3
BWA-2022,3
BWA-2023,3
BRA-1999,5
BRA-2000,6
BRA-2001,6
BRA-2002,6
BRA-2003,6
BRA-2004,6
BRA-2005,6
BRA-2006,5
BRA-2007,4
BRA-2008,3
BRA-2009,3
BRA-2010,3
BRA-2011,3
BRA-2012,3
BRA-2013,3
BRA-2014,3
BRA-2015,3
BRA-2016,4
BRA-2017,5
BRA-2018,5
BRA-2019,5
BRA-2020,5
BRA-2021,5
BRA-2022,5
BRA-2023,5
BRN-1999,2
BRN-2000,2
BRN-2001,1
BRN-2002,1
BRN-2003,2
BRN-2004,2
BRN-2005,2
BRN-2006,2
BRN-2007,2
BRN-2008,2
BRN-2009,2
BRN-2010,2
BRN-2011,2
BRN-2012,2
BRN-2013,2
BRN-2014,2
BRN-2015,2
BGR-1999,6
BGR-2000,6
BGR-2001,6
BGR-2002,5
BGR-2003,5
BGR-2004,5
BGR-2005,4
BGR-2006,4
BGR-2007,4
BGR-2008,3
BGR-2009,3
BGR-2010,4
BGR-2011,4
BGR-2012,4
BGR-2013,4
BGR-2014,4
BGR-2015,4
BGR-2016,4
BGR-2017,4
BGR-2018,3
BGR-2019,3
BGR-2020,3
BGR-2021,3
BGR-2022,3
BGR-2023,3
BFA-1999,6
BFA-2000,7
BFA-2001,7
BFA-2002,7
BFA-2003,7
BFA-2004,7
BFA-2005,7
BFA-2006,7
BFA-2007,7
BFA-2008,7
BFA-2009,7
BFA-2010,7
BFA-2011,7
BFA-2012,7
BFA-2013,7
BFA-2014,7
BFA-2015,1
BFA-2016,1
BFA-2017,1
BFA-2018,1
BFA-2019,1
BFA-2020,1
BFA-2021,1
BFA-2022,1
BFA-2023,1
BDI-2008,7
BDI-2009,7
BDI-2010,7
BDI-2011,7
BDI-2012,7
BDI-2013,7
BDI-2014,7
BDI-2015,7
BDI-2016,7
BDI-2017,7
BDI-2018,7
BDI-2019,7
BDI-2020,7
BDI-2021,7
BDI-2022,7
BDI-2023,7
CPV-1999,6
CPV-2000,6
CPV-2001,6
CPV-2002,6
CPV-2003,7
CPV-2004,7
CPV-2005,7
CPV-2006,7
CPV-2007,6
CPV-2008,6
CPV-2009,5
CPV-2010,5
CPV-2011,6
CPV-2012,5
CPV-2013,6
CPV-2014,6
CPV-2015,6
CPV-2016,6
CPV-2017,6
CPV-2018,6
CPV-2019,6
CPV-2020,6
CPV-2021,6
CPV-2022,6
CPV-2023,6
KHM-2008,7
KHM-2009,6
KHM-2010,6
KHM-2011,6
KHM-2012,6
KHM-2013,6
KHM-2014,6
KHM-2015,6
KHM-2016,6
