,INDICATOR NAME,INDICATOR DESCRIPTION,INDICATOR FREQUENCY 1,INDICATOR FREQUENCY 2,PROVIDER,DATASET
0,BACK_BP6_EUR,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), Euros",A,Q,IMF,BOP
1,BACK_BP6_USD,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars",A,Q,IMF,BOP
2,BACK_BP6_XDC,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), National Currency",A,Q,IMF,BOP
3,BCAXF_BP6_USD,"Supplementary Items, Current Account, Net (Excluding Exceptional Financing), US Dollars",A,Q,IMF,BOP
4,BCA_BP6_EUR,"Current Account, Total, Net, Euros",A,Q,IMF,BOP
5,BCA_BP6_USD,"Current Account, Total, Net, US Dollars",A,Q,IMF,BOP
6,BCA_BP6_XDC,"Current Account, Total, Net, National Currency",A,Q,IMF,BOP
7,BEFOODCBAA_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Accumulation of Arrears, US Dollars",A,Q,IMF,BOP
8,BEFOODCBAA_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Accumulation of Arrears, National Currency",A,Q,IMF,BOP
9,BEFOODCBCA_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Cancellation of Arrears, US Dollars",A,Q,IMF,BOP
10,BEFOODCBCA_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Cancellation of Arrears, National Currency",A,Q,IMF,BOP
11,BEFOODCBRA_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Repayment of Arrears, US Dollars",A,Q,IMF,BOP
12,BEFOODCBRA_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Repayment of Arrears, National Currency",A,Q,IMF,BOP
13,BEFOODCBSA_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Rescheduling of Arrears, US Dollars",A,Q,IMF,BOP
14,BEFOODCBSA_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Rescheduling of Arrears, National Currency",A,Q,IMF,BOP
15,BEFOODCB_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, US Dollars",A,Q,IMF,BOP
16,BEFOODCB_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, National Currency",A,Q,IMF,BOP
17,BEFOODDCAA_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Deposit-taking Corporations, Except Central Bank, Accumulation of Arrears, US Dollars",A,Q,IMF,BOP
18,BEFOODDCAA_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Deposit-taking Corporations, Except Central Bank, Accumulation of Arrears, National Currency",A,Q,IMF,BOP
19,BEFOODDCCA_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Deposit-taking Corporations, Except Central Bank, Cancellation of Arrears, US Dollars",A,Q,IMF,BOP
20,BEFOODDCCA_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Deposit-taking Corporations, Except Central Bank, Cancellation of Arrears, National Currency",A,Q,IMF,BOP
21,BEFOODDCRA_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Deposit-taking Corporations, Except Central Bank, Repayment of Arrears, US Dollars",A,Q,IMF,BOP
22,BEFOODDCRA_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Deposit-taking Corporations, Except Central Bank, Repayment of Arrears, National Currency",A,Q,IMF,BOP
23,BEFOODDCSA_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Deposit-taking Corporations, Except Central Bank, Rescheduling of Arrears, US Dollars",A,Q,IMF,BOP
24,BEFOODDCSA_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Deposit-taking Corporations, Except Central Bank, Rescheduling of Arrears, National Currency",A,Q,IMF,BOP
25,BEFOODDC_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Deposit-taking Corporations, Except Central Bank, US Dollars",A,Q,IMF,BOP
26,BEFOODDC_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Deposit-taking Corporations, Except Central Bank, National Currency",A,Q,IMF,BOP
27,BEFOODGAA_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, General Government, Accumulation of Arrears, US Dollars",A,Q,IMF,BOP
28,BEFOODGAA_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, General Government, Accumulation of Arrears, National Currency",A,Q,IMF,BOP
29,BEFOODGCA_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, General Government, Cancellation of Arrears, US Dollars",A,Q,IMF,BOP
30,BEFOODGCA_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, General Government, Cancellation of Arrears, National Currency",A,Q,IMF,BOP
31,BEFOODGRA_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, General Government, Repayment of Arrears, US Dollars",A,Q,IMF,BOP
32,BEFOODGRA_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, General Government, Repayment of Arrears, National Currency",A,Q,IMF,BOP
33,BEFOODGSA_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, General Government, Rescheduling of Arrears, US Dollars",A,Q,IMF,BOP
34,BEFOODGSA_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, General Government, Rescheduling of Arrears, National Currency",A,Q,IMF,BOP
35,BEFOODG_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, General Government, US Dollars",A,Q,IMF,BOP
36,BEFOODG_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, General Government, National Currency",A,Q,IMF,BOP
37,BEFOODOAA_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Other Sectors, Accumulation of Arrears, US Dollars",A,Q,IMF,BOP
38,BEFOODOAA_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Other Sectors, Accumulation of Arrears, National Currency",A,Q,IMF,BOP
39,BEFOODOCA_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Other Sectors, Cancellation of Arrears, US Dollars",A,Q,IMF,BOP
40,BEFOODOCA_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Other Sectors, Cancellation of Arrears, National Currency",A,Q,IMF,BOP
