Provider Id,Provider Name,Provider Region,Dataset Id,Dataset Name
IMF,International Monetary Fund,World,AFRREO,Sub-Saharan Africa Regional Economic Outlook (AFRREO)
IMF,International Monetary Fund,World,APDREO,Asia and Pacific Regional Economic Outlook (APDREO)
IMF,International Monetary Fund,World,BOP,Balance of Payments (BOP)
IMF,International Monetary Fund,World,BOPAGG,"Balance of Payments (BOP), World and Regional Aggregates"
IMF,International Monetary Fund,World,CDIS,Coordinated Direct Investment Survey (CDIS)
IMF,International Monetary Fund,World,COFER,Currency Composition of Official Foreign Exchange Reserves (COFER)
IMF,International Monetary Fund,World,CPI,Consumer Price Index (CPI)
IMF,International Monetary Fund,World,CPIS,Coordinated Portfolio Investment Survey (CPIS)
IMF,International Monetary Fund,World,DOT,Direction of Trade Statistics (DOTS)
IMF,International Monetary Fund,World,FAS,Financial Access Survey (FAS)
IMF,International Monetary Fund,World,FDI,Financial Development Index
IMF,International Monetary Fund,World,FISCALDECENTRALIZATION,Fiscal Decentralization
IMF,International Monetary Fund,World,FM,Fiscal Monitor (FM)
IMF,International Monetary Fund,World,FSI,Financial Soundness Indicators (FSIs)
IMF,International Monetary Fund,World,FSIRE,Financial Soundness Indicators: Reporting entities
IMF,International Monetary Fund,World,GENDER_BUDGETING,Gender Budgeting
IMF,International Monetary Fund,World,GENDER_EQUALITY,Gender Equality
IMF,International Monetary Fund,World,GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)"
IMF,International Monetary Fund,World,GFSE,"Government Finance Statistics (GFS), Expense"
IMF,International Monetary Fund,World,GFSFALCS,"Government Finance Statistics (GFS), Financial Assets and Liabilities by Counterpart Sector"
IMF,International Monetary Fund,World,GFSIBS,"Government Finance Statistics (GFS), Integrated Balance Sheet (Stock Positions and Flows in Assets and Liabilities)"
IMF,International Monetary Fund,World,GFSMAB,"Government Finance Statistics (GFS), Main Aggregates and Balances"
IMF,International Monetary Fund,World,GFSR,"Government Finance Statistics (GFS), Revenue"
IMF,International Monetary Fund,World,GFSSSUC,"Government Finance Statistics (GFS), Statement of Sources and Uses of Cash"
