COUNTRY_PERIOD_INDEX,YEAR,ISO3_COUNTRY_CODE,OECD_RATING,WB-WDI-NY.ADJ.DPEM.GN.ZS,IMF-FM-GGR_G01_GDP_PT,IMF-FM-G_X_G01_GDP_PT,WB-WDI-NY.GDP.PCAP.CD,Info-Country_Name,Legal_Systems-Civil_Law,Legal_Systems-Common_Law,Legal_Systems-Customary,Legal_Systems-Muslim,Legal_Systems-Mixed,Languages-Official_language,Languages-Regional_language,Languages-Minority_language,Languages-National_language,Languages-Widely_spoken,Geography-x_coord,Geography-y_coord,Geography-Region,Geography-Sub_Region,Geography-Intermediate_Region,Geography-Region_Code,Geography-Sub_Region_Code,Geography-Intermediate_Region_Code,Economy-Income_Group
AFG-1999,1999,AFG,7,,,,,AFGHANISTAN,0.0,0.0,0.0,1.0,0.0,Pashto/Dari,Uzbek/Turkmen/Pashai/Nuristani/Balochi/Pamiri,,Pashto,,33.93911,67.709953,Asia,Southern Asia,Southern Asia,142.0,34.0,0.0,Low income
AFG-2000,2000,AFG,7,,,,180.188369406647,AFGHANISTAN,0.0,0.0,0.0,1.0,0.0,Pashto/Dari,Uzbek/Turkmen/Pashai/Nuristani/Balochi/Pamiri,,Pashto,,33.93911,67.709953,Asia,Southern Asia,Southern Asia,142.0,34.0,0.0,Low income
AFG-2001,2001,AFG,-,,,,142.903364432457,AFGHANISTAN,0.0,0.0,0.0,1.0,0.0,Pashto/Dari,Uzbek/Turkmen/Pashai/Nuristani/Balochi/Pamiri,,Pashto,,33.93911,67.709953,Asia,Southern Asia,Southern Asia,142.0,34.0,0.0,Low income
AFG-2002,2002,AFG,-,,,,182.174038211707,AFGHANISTAN,0.0,0.0,0.0,1.0,0.0,Pashto/Dari,Uzbek/Turkmen/Pashai/Nuristani/Balochi/Pamiri,,Pashto,,33.93911,67.709953,Asia,Southern Asia,Southern Asia,142.0,34.0,0.0,Low income
AFG-2003,2003,AFG,-,,9.82582910063867,11.9274983370198,199.643226536823,AFGHANISTAN,0.0,0.0,0.0,1.0,0.0,Pashto/Dari,Uzbek/Turkmen/Pashai/Nuristani/Balochi/Pamiri,,Pashto,,33.93911,67.709953,Asia,Southern Asia,Southern Asia,142.0,34.0,0.0,Low income
AFG-2004,2004,AFG,-,,12.6758750404315,15.0687132951827,221.830530720307,AFGHANISTAN,0.0,0.0,0.0,1.0,0.0,Pashto/Dari,Uzbek/Turkmen/Pashai/Nuristani/Balochi/Pamiri,,Pashto,,33.93911,67.709953,Asia,Southern Asia,Southern Asia,142.0,34.0,0.0,Low income
AFG-2005,2005,AFG,-,,14.7334769052451,15.6505843198805,254.115276010485,AFGHANISTAN,0.0,0.0,0.0,1.0,0.0,Pashto/Dari,Uzbek/Turkmen/Pashai/Nuristani/Balochi/Pamiri,,Pashto,,33.93911,67.709953,Asia,Southern Asia,Southern Asia,142.0,34.0,0.0,Low income
AFG-2006,2006,AFG,-,,18.9459116570191,18.2622158918455,274.01539233406,AFGHANISTAN,0.0,0.0,0.0,1.0,0.0,Pashto/Dari,Uzbek/Turkmen/Pashai/Nuristani/Balochi/Pamiri,,Pashto,,33.93911,67.709953,Asia,Southern Asia,Southern Asia,142.0,34.0,0.0,Low income
AFG-2007,2007,AFG,-,,18.9857911257064,21.4475105141091,376.318299640418,AFGHANISTAN,0.0,0.0,0.0,1.0,0.0,Pashto/Dari,Uzbek/Turkmen/Pashai/Nuristani/Balochi/Pamiri,,Pashto,,33.93911,67.709953,Asia,Southern Asia,Southern Asia,142.0,34.0,0.0,Low income
AFG-2008,2008,AFG,7,,17.035778943281,20.8993727350794,382.533807216693,AFGHANISTAN,0.0,0.0,0.0,1.0,0.0,Pashto/Dari,Uzbek/Turkmen/Pashai/Nuristani/Balochi/Pamiri,,Pashto,,33.93911,67.709953,Asia,Southern Asia,Southern Asia,142.0,34.0,0.0,Low income
