COUNTRY_PERIOD_INDEX,YEAR,ISO3_COUNTRY_CODE,OECD_RATING
AFG-1999,1999,AFG,7
AFG-2000,2000,AFG,7
AFG-2001,2001,AFG,-
AFG-2002,2002,AFG,-
AFG-2003,2003,AFG,-
AFG-2004,2004,AFG,-
AFG-2005,2005,AFG,-
AFG-2006,2006,AFG,-
AFG-2007,2007,AFG,-
AFG-2008,2008,AFG,7
AFG-2009,2009,AFG,7
AFG-2010,2010,AFG,7
AFG-2011,2011,AFG,7
AFG-2012,2012,AFG,7
AFG-2013,2013,AFG,7
AFG-2014,2014,AFG,7
AFG-2015,2015,AFG,7
AFG-2016,2016,AFG,7
AFG-2017,2017,AFG,7
AFG-2018,2018,AFG,7
AFG-2019,2019,AFG,7
AFG-2020,2020,AFG,7
AFG-2021,2021,AFG,7
AFG-2022,2022,AFG,7
AFG-2023,2023,AFG,7
AFG-2024,2024,AFG,-
AFG-2025,2025,AFG,-
AFG-2026,2026,AFG,-
ALB-1999,1999,ALB,7
ALB-2000,2000,ALB,7
ALB-2001,2001,ALB,7
ALB-2002,2002,ALB,7
ALB-2003,2003,ALB,7
ALB-2004,2004,ALB,7
ALB-2005,2005,ALB,6
ALB-2006,2006,ALB,6
ALB-2007,2007,ALB,6
ALB-2008,2008,ALB,6
ALB-2009,2009,ALB,6
ALB-2010,2010,ALB,6
ALB-2011,2011,ALB,6
ALB-2012,2012,ALB,6
ALB-2013,2013,ALB,6
ALB-2014,2014,ALB,6
ALB-2015,2015,ALB,6
ALB-2016,2016,ALB,6
ALB-2017,2017,ALB,6
ALB-2018,2018,ALB,6
ALB-2019,2019,ALB,6
ALB-2020,2020,ALB,5
ALB-2021,2021,ALB,5
ALB-2022,2022,ALB,5
ALB-2023,2023,ALB,5
ALB-2024,2024,ALB,-
ALB-2025,2025,ALB,-
ALB-2026,2026,ALB,-
DZA-1999,1999,DZA,6
DZA-2000,2000,DZA,6
DZA-2001,2001,DZA,5
DZA-2002,2002,DZA,5
DZA-2003,2003,DZA,4
DZA-2004,2004,DZA,4
DZA-2005,2005,DZA,4
DZA-2006,2006,DZA,3
DZA-2007,2007,DZA,3
DZA-2008,2008,DZA,3
DZA-2009,2009,DZA,3
DZA-2010,2010,DZA,3
DZA-2011,2011,DZA,3
DZA-2012,2012,DZA,3
DZA-2013,2013,DZA,3
DZA-2014,2014,DZA,3
DZA-2015,2015,DZA,3
